Library,Location,Homepage,Catalog,Current Automation System Name,Current Automation System Year,Previous Automation System Name,Previous Automation System Year,Previous Automation System_1 Name,Previous Automation System_1 Year,Previous Automation System_2 Name,Previous Automation System_2 Year,Discovery Interface Name,Discovery Interface Year,Previous Discovery Interface Name,Previous Discovery Interface Year,Previous Automation System_3 Name,Previous Automation System_3 Year,Federated search product Name,Federated search product Year,Web Content Management Name,Web Content Management Year,Item ID Type Name,Item ID Type Year,RFID Provider Name,RFID Provider Year,Catalog Enhancement Name,Catalog Enhancement Year,Discovery Service (w/index) Name,Discovery Service (w/index) Year,Self-Check Name,Self-Check Year,RFID Tag Type Name,RFID Tag Type Year,Digital Asset Management Name,Digital Asset Management Year,OpenURL Link resolver Name,OpenURL Link resolver Year,Electronic Resource Management Name,Electronic Resource Management Year,Automated Materials Handling Name,Automated Materials Handling Year,Institutional Repository Name,Institutional Repository Year,RFID Tag Vendor Name,RFID Tag Vendor Year,Archives Management Name,Archives Management Year,Previous Discovery Index Name,Previous Discovery Index Year,Previous Link resolver Name,Previous Link resolver Year
Jacksonville Public Library,"Jacksonville, FL",https://jaxpubliclibrary.org/,http://jkpl.ent.sirsi.net,Symphony,2003,DRA,1993,,,,,,,,,,,,,,,Barcode,,,,,,,,3M SelfCheck System Model 6420,,,,,,,,,,3M Sortation,,,,,,,,,,,
Jefferson County Public Library System,"Jefferson County, CO",https://jeffcolibrary.org/,https://jeffcolibrary.org/,Sierra,2011,Millennium,1999,Innopac,1996,Locally developed,1980,BiblioCore,2017,,,,,,,,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Johnson County Library,"Johnson County, KS",https://www.jocolibrary.org/,http://jocolibrary.bibliocommons.com/,Symphony,2003,DRA,1988,,,,,BiblioCore,2010,,,,,,,,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Kalamazoo Public Library,"Kalamazoo, MI",https://www.kpl.gov/,http://www.catalog.kpl.gov/,Symphony,2002,DRA,1991,None,,,,Locally Developed,,Enterprise,,,,,,,,RFID,,3M,,,,,,3M SelfCheck System Model 8410,,HF,,,,,,,,,,,,,,,,,,,
Mid-Continent Consolidated Library District,"Kansas City Metro Region, MO",https://www.mymcpl.org/,http://www.mymcpl.org/catalog,Symphony,2003,INLEX/3000,1990,,,,,BiblioCore,2016,,,,,,,,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Kansas City Public Library,"Kansas City, MO",https://www.kclibrary.org/,http://catalog.kclibrary.org/,Symphony,2004,DRA,1988,,,,,BiblioCore,2016,AquaBrowser Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kent District Library,"Kent County, MI",https://kdl.org/,https://catalog.kdl.org/client/en_US/default/search/results?qu=title&x=0&y=0,Symphony,2014,Sierra,2011,Millennium,2002,Dynix,1998,BiblioCore,2020,Enterprise,2014,GLIS,1980,Research Pro,,,,RFID,,3M,,,,,,3M SelfCheck System V-Series,,HF,,,,,,,,,,,,,,,,,,,
Kern County Library,"Kern County, CA",https://kerncountylibrary.org/,https://sjvls.ent.sirsi.net/client/en_US/kehq,Horizon,2003,Dynix,1990,,,,,Enterprise,,,,,,,,,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King County Library System,"King County, WA",https://kcls.org/,http://catalog.kcls.org/,Evergreen -- Catalyst,2014,Evergreen -- Equinox,2009,Millennium,2004,Dynix,1990,BiblioCore,2014,,,,,360 Search,,BiblioCMS,,Barcode,,,,LibraryThing for Libraries,,,,,,,,,,,,,,,,,,,,,,,,,
Lee County Library System,"Lee County, FL",https://www.leegov.com/library/,https://libpac.leegov.com/polaris/default.aspx?ctx=1.1033.0.0.6,Polaris,2008,Dynix,1989,,,,,,,,,,,,,,,,,Bibliotheca,,LibraryThing for Libraries,,,,3M SelfCheck System R-Series,,,,,,,,,,Lyngsoe LibraryMate,,,,,,,,,,,
